feature,function,category,template_ref,sections_ref,app_ref,data_ref,estimate_lines
user,edit title,Reusable,templates/user/edit-title.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9030
user,recent vote,Reusable,templates/user/recent-vote.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9071
user,bonus,Reusable,templates/user/bonus.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9105
user,locked,Reusable,templates/user/locked.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9045
user,edit warn,Reusable,templates/user/edit-warn.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9086
user,password history,Usable,templates/user/password-history.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9049
user,edit privileges,Reusable,templates/user/edit-privileges.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9151
user,quote notification,Usable,templates/user/quote-notification.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9066
user,privilege list,Reusable,templates/user/privilege-list.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9060
user,thread history,Usable,templates/user/thread-history.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9057
user,edit lock,Reusable,templates/user/edit-lock.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9049
user,friend,Usable,templates/user/friend.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9071
user,lastfm,Reusable,templates/user/lastfm.twig,sections/user/lastfm.php,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9065
user,ip,Reusable,templates/user/ip.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9028
user,edit password,Usable,templates/user/edit-password.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9043
user,email history,Usable,templates/user/email-history.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9096
user,edit username,Usable,templates/user/edit-username.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9030
user,vote history,Reusable,templates/user/vote-history.twig,sections/user/vote_history.php,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9076
user,subscription history,Usable,templates/user/subscription-history.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9110
user,post history,Usable,templates/user/post-history.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9127
user,session,Usable,templates/user/session.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9072
user,edit remark,Reusable,templates/user/edit-remark.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9030
user,pm privilege,Reusable,templates/user/pm-privilege.twig,-,app/User.php;app/User,bonus_history;donor_rewards;friends;permission_rate_limit;pm_conversations_users;user_external_profile;user_seedbox;user_token;user_warning;users_dupes;users_enable_requests;users_levels;users_main;users_notifications_settings;users_notify_quoted;users_notify_torrents;users_sessions;users_subscriptions;users_votes;xbt_snatched,9032
vote,-,Reusable,templates/vote,-,-,-,49
wiki,-,Usable,templates/wiki,sections/wiki,app/Wiki.php,wiki_articles,960
wiki,revision list,Usable,templates/wiki/revision-list.twig,-,app/Wiki.php,wiki_articles,277
wiki,browse,Usable,templates/wiki/browse.twig,-,app/Wiki.php,wiki_articles,279
wiki,search,Usable,templates/wiki/search.twig,sections/wiki/search.php,app/Wiki.php,wiki_articles,335
wiki,article,Usable,templates/wiki/article.twig,sections/wiki/article.php,app/Wiki.php,wiki_articles,356
wiki,compare,Usable,templates/wiki/compare.twig,sections/wiki/compare.php,app/Wiki.php,wiki_articles,322
wiki,create,Usable,templates/wiki/create.twig,sections/wiki/create.php,app/Wiki.php,wiki_articles,279
-,-,-,-,-,-,TOTAL:,346001/217969
